datetime,temp,humidity,date,time,date_,time_
2025-03-01T00:00:00,15.0,54.89,3/1/2025,0:00:00,2025-03-01,00:00:00
2025-03-01T01:00:00,15.0,58.79,3/1/2025,1:00:00,2025-03-01,01:00:00
2025-03-01T02:00:00,14.1,61.69,3/1/2025,2:00:00,2025-03-01,02:00:00
2025-03-01T03:00:00,14.0,62.72,3/1/2025,3:00:00,2025-03-01,03:00:00
2025-03-01T04:00:00,14.0,62.72,3/1/2025,4:00:00,2025-03-01,04:00:00
2025-03-01T05:00:00,14.0,66.03,3/1/2025,5:00:00,2025-03-01,05:00:00
2025-03-01T06:00:00,13.0,66.93,3/1/2025,6:00:00,2025-03-01,06:00:00
2025-03-01T07:00:00,14.0,67.15,3/1/2025,7:00:00,2025-03-01,07:00:00
2025-03-01T08:00:00,14.0,71.14,3/1/2025,8:00:00,2025-03-01,08:00:00
2025-03-01T09:00:00,15.0,72.03,3/1/2025,9:00:00,2025-03-01,09:00:00
2025-03-01T10:00:00,17.0,59.28,3/1/2025,10:00:00,2025-03-01,10:00:00
2025-03-01T11:00:00,17.8,55.98,3/1/2025,11:00:00,2025-03-01,11:00:00
2025-03-01T12:00:00,19.0,45.63,3/1/2025,12:00:00,2025-03-01,12:00:00
2025-03-01T13:00:00,20.0,42.88,3/1/2025,13:00:00,2025-03-01,13:00:00
2025-03-01T14:00:00,20.1,40.08,3/1/2025,14:00:00,2025-03-01,14:00:00
2025-03-01T15:00:00,21.0,40.32,3/1/2025,15:00:00,2025-03-01,15:00:00
2025-03-01T16:00:00,20.0,40.03,3/1/2025,16:00:00,2025-03-01,16:00:00
2025-03-01T17:00:00,19.1,48.07,3/1/2025,17:00:00,2025-03-01,17:00:00
2025-03-01T18:00:00,19.0,48.86,3/1/2025,18:00:00,2025-03-01,18:00:00
2025-03-01T19:00:00,18.0,52.01,3/1/2025,19:00:00,2025-03-01,19:00:00
2025-03-01T20:00:00,17.8,55.61,3/1/2025,20:00:00,2025-03-01,20:00:00
2025-03-01T21:00:00,16.0,63.17,3/1/2025,21:00:00,2025-03-01,21:00:00
2025-03-01T22:00:00,16.0,59.04,3/1/2025,22:00:00,2025-03-01,22:00:00
2025-03-01T23:00:00,15.0,66.23,3/1/2025,23:00:00,2025-03-01,23:00:00
2025-03-02T00:00:00,14.0,71.85,3/2/2025,0:00:00,2025-03-02,00:00:00
2025-03-02T01:00:00,14.0,71.85,3/2/2025,1:00:00,2025-03-02,01:00:00
2025-03-02T02:00:00,13.1,74.92,3/2/2025,2:00:00,2025-03-02,02:00:00
2025-03-02T03:00:00,13.0,71.66,3/2/2025,3:00:00,2025-03-02,03:00:00
2025-03-02T04:00:00,12.0,76.52,3/2/2025,4:00:00,2025-03-02,04:00:00
2025-03-02T05:00:00,12.0,77.3,3/2/2025,5:00:00,2025-03-02,05:00:00
2025-03-02T06:00:00,12.0,76.52,3/2/2025,6:00:00,2025-03-02,06:00:00
2025-03-02T07:00:00,11.0,81.75,3/2/2025,7:00:00,2025-03-02,07:00:00
2025-03-02T08:00:00,12.9,77.97,3/2/2025,8:00:00,2025-03-02,08:00:00
2025-03-02T09:00:00,15.0,72.03,3/2/2025,9:00:00,2025-03-02,09:00:00
2025-03-02T10:00:00,16.0,63.17,3/2/2025,10:00:00,2025-03-02,10:00:00
2025-03-02T11:00:00,17.8,53.21,3/2/2025,11:00:00,2025-03-02,11:00:00
